# hx, hy, hz, mag, mag_var, susceptibility, sus_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.373291015625000000e-03 2.741325003160047930e-03 9.923028945922851562e-01 3.332961468046536269e-04 -1.280000040483715509e+02 1.687911104481410765e-06
6.666666666666666574e-02 0.000000000000000000e+00 6.666666666666666574e-02 -3.200560808181762695e-02 2.770488061656153477e-03 9.910777779296040535e-01 4.054678215474911821e-04 -1.282838578852188789e+02 3.583089443612530955e-04
1.333333333333333315e-01 0.000000000000000000e+00 1.333333333333333315e-01 -6.898474693298339844e-02 2.615797540290340246e-03 9.879143331199884415e-01 4.725160600668674689e-04 -1.291441277430597552e+02 1.318784986260930058e-03
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.056548357009887695e-01 2.608533165571170608e-03 9.805297125130891800e-01 6.629232830055342045e-04 -1.306080221911565786e+02 2.758149957383924412e-03
2.666666666666666630e-01 0.000000000000000000e+00 2.666666666666666630e-01 -1.594306826591491699e-01 2.680279277367047120e-03 9.643528880551457405e-01 9.729795925211192015e-04 -1.326793912623629694e+02 5.662409406867604036e-03
3.333333333333333148e-01 0.000000000000000000e+00 3.333333333333333148e-01 -2.063995599746704102e-01 1.150228880326626801e-03 9.462379384785890579e-01 5.324981058964608268e-04 -1.358637821794230547e+02 2.756548319199120852e-03
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.591581344604492188e-01 7.835232486812487157e-04 9.199313577264547348e-01 4.541876019174290874e-04 -1.413137208014535418e+02 1.775452424311665944e-03
4.666666666666666741e-01 0.000000000000000000e+00 4.666666666666666741e-01 -3.223775029182434082e-01 7.487972806098148375e-04 8.812223849818110466e-01 5.336040313431135657e-04 -1.485521131150349277e+02 1.934648592998515276e-03
5.333333333333333259e-01 0.000000000000000000e+00 5.333333333333333259e-01 -3.973424434661865234e-01 8.512786667985801272e-04 8.248436320573091507e-01 7.413839489863336069e-04 -1.569296458676401471e+02 2.348256543817676609e-03
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -4.789139628410339355e-01 8.487994982400707449e-04 7.521049277856945992e-01 8.552941035794289293e-04 -1.661399854208323177e+02 2.602050203329015800e-03
6.666666666666666297e-01 0.000000000000000000e+00 6.666666666666666297e-01 -5.376445651054382324e-01 8.088941404637663753e-04 6.929670544341206551e-01 8.934878204863324052e-04 -1.759025807082272763e+02 2.769175629143517253e-03
7.333333333333332815e-01 0.000000000000000000e+00 7.333333333333332815e-01 -5.792883634567260742e-01 7.504218486445739158e-04 6.482581347227096558e-01 8.848988969194281160e-04 -1.860847292315991126e+02 2.954732929312216001e-03
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -6.030378341674804688e-01 6.546766717072314808e-04 6.215144656598567963e-01 7.887071473627767487e-04 -1.965523614761523845e+02 2.897675942403645736e-03
8.666666666666666963e-01 0.000000000000000000e+00 8.666666666666666963e-01 -6.235423088073730469e-01 6.028277752279659210e-04 5.971961189061403275e-01 7.468167666065346271e-04 -2.072923796034618249e+02 2.544886727851016113e-03
9.333333333333333481e-01 0.000000000000000000e+00 9.333333333333333481e-01 -6.357955336570739746e-01 5.391225745904698824e-04 5.828766720369458199e-01 6.815598784615098989e-04 -2.181804039234299921e+02 2.416174057394985565e-03
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -6.453372240066528320e-01 5.095963477388768285e-04 5.715805012732744217e-01 6.516832655276478441e-04 -2.292130111044100431e+02 2.367289472620692867e-03
