hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999996828299942e+01 0.000000000000000000e+00 2.537359885948216337e-07 4.510281037539698445e-17 0.000000000000000000e+00 6.035777803313938095e-02 1.781156294343479995e-01 0.000000000000000000e+00 2.863260058434540303e-02 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.602204517646278248e+01 0.000000000000000000e+00 2.105996777121784845e-04 2.754296437463096825e-02 0.000000000000000000e+00 6.887317031131046097e-02 1.955000822349923228e-01 0.000000000000000000e+00 3.141150304396388149e-02 -1.608118739840768896e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 -1.607128677789334148e+01 0.000000000000000000e+00 1.830999117528214629e-03 5.939857841045587117e-02 0.000000000000000000e+00 9.920447294526830995e-02 2.430931387680381472e-01 0.000000000000000000e+00 4.363838994635473034e-02 -1.618592319885367914e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.624843948738501709e+01 0.000000000000000000e+00 6.609880519048203125e-03 1.567708335677495957e-01 0.000000000000000000e+00 1.951719846458238039e-01 3.611901023520907028e-01 0.000000000000000000e+00 8.929078886623700861e-02 -1.633828589021752720e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01 -1.652006392359115594e+01 0.000000000000000000e+00 3.089009471902015927e-03 2.731763675206004827e-01 0.000000000000000000e+00 2.733947644192452064e-01 3.989986410366596070e-01 0.000000000000000000e+00 1.888201766418942662e-01 -1.654311682027941544e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680261257919298146e+01 0.000000000000000000e+00 3.789441913860660486e-04 3.630122944947714592e-01 0.000000000000000000e+00 2.991731535518966645e-01 4.352002082065453692e-01 0.000000000000000000e+00 2.415518582832348327e-01 -1.680513744664445852e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.712765600901341756e+01 0.000000000000000000e+00 1.386509419559125509e-05 4.417009677756693620e-01 0.000000000000000000e+00 3.003542539151689561e-01 4.955109963144542218e-01 0.000000000000000000e+00 2.499228513805887286e-01 -1.712771213040600671e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170341187206603e+01 0.000000000000000000e+00 7.997135856787617660e-08 5.177801221350487593e-01 0.000000000000000000e+00 2.908626386459910451e-01 5.589589827615181195e-01 0.000000000000000000e+00 2.465237491143859594e-01 -1.751170355530066303e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -1.795493120527698139e+01 0.000000000000000000e+00 3.652401241423147767e-08 5.892474813792714095e-01 0.000000000000000000e+00 2.732322997345533189e-01 6.204449004179359850e-01 0.000000000000000000e+00 2.354930195917457336e-01 -1.795493122290994137e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250370858722277e+01 0.000000000000000000e+00 3.704084441933661470e-08 6.532814757551481666e-01 0.000000000000000000e+00 2.500000056006214111e-01 6.767766945460138572e-01 0.000000000000000000e+00 2.187499978848174154e-01 -1.845250371901102326e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366926811818232e+01 0.000000000000000000e+00 5.036405856843342035e-08 7.547328544340743406e-01 0.000000000000000000e+00 1.984643462327509988e-01 7.680860288935689173e-01 0.000000000000000000e+00 1.781298800134641369e-01 -1.958366927713651506e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545091682252e+01 0.000000000000000000e+00 5.258020322161085145e-08 8.239668130665136481e-01 0.000000000000000000e+00 1.528420387136480429e-01 8.317633483314483822e-01 0.000000000000000000e+00 1.399330801210927899e-01 -2.085035545820100822e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803303674218299e+01 0.000000000000000000e+00 5.048708599794760112e-08 8.700238082068941781e-01 0.000000000000000000e+00 1.178246151818219123e-01 8.747660423712756428e-01 0.000000000000000000e+00 1.095504131427445516e-01 -2.220803304253857036e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645050711875783e+01 0.000000000000000000e+00 4.737040196518368588e-08 9.010216241508290924e-01 0.000000000000000000e+00 9.219315436073709236e-02 9.040331217658107432e-01 0.000000000000000000e+00 8.675723629849804719e-02 -2.362645051177383593e+01
