hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var xcubes xcubes_err xcubes_var zcubes zcubes_err zcubes_var
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.582431868275966735e+01 2.205231960956656901e-03 1.644468426339917855e+00 5.186324209420269948e-01 2.376280869266243767e-03 1.351463164987584398e-01 5.186324209420269948e-01 2.376280869266243767e-03 1.351463164987584398e-01 3.199994861197304274e+01 2.125095431060209386e-05 1.793198434703597145e-04 1.888775634765625000e+01 6.906847666190678303e-02 1.114868723911543640e+02
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.562065398073683298e+01 2.507499490515357771e-03 2.212259864734544834e+00 2.682932724686104553e-01 2.075384698278366115e-03 9.608026687799192667e-02 2.682932724686104553e-01 2.075384698278366115e-03 9.608026687799192667e-02 3.199996367020826682e+01 2.844243038112844723e-05 3.244367993590249310e-04 2.606555175781250000e+01 5.905755126069055921e-02 7.472657861808934854e+01
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.551278205095691476e+01 2.329736542076920030e-03 2.190821831095775440e+00 1.608503080682542330e-01 1.143275744263154599e-03 4.667381540718416183e-02 1.608503080682542330e-01 1.143275744263154599e-03 4.667381540718416183e-02 3.199990837955918010e+01 3.345119633051758036e-05 4.335688054340535520e-04 2.908627319335937500e+01 3.166480964474176901e-02 3.324046139574299019e+01
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.541810228519938164e+01 2.293825271997900102e-03 1.859733062277599602e+00 1.266498971129436379e-01 7.036108866488759769e-04 2.825999778728252587e-02 1.266498971129436379e-01 7.036108866488759769e-04 2.825999778728252587e-02 3.199993876043886942e+01 4.430961185743875736e-05 7.324986406389904711e-04 3.001381429036458215e+01 1.912973492740987699e-02 1.876136515496505552e+01
4.099999999999999756e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.535131982501837911e+01 2.100322463132540084e-03 1.525867293034690819e+00 1.103320350242461834e-01 4.680956963593465117e-04 1.953823675756897332e-02 1.103320350242461834e-01 4.680956963593465117e-04 1.953823675756897332e-02 3.199993891543527980e+01 4.205647473070034636e-05 6.688955499367604893e-04 3.045626831054687500e+01 1.227495900006166270e-02 1.211815386420736651e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.528497222972245595e+01 2.018626406457892011e-03 1.340531072869606932e+00 1.048562651285799285e-01 4.570442440960146516e-04 1.820458705978679828e-02 1.048562651285799285e-01 4.570442440960146516e-04 1.820458705978679828e-02 3.199987262693602474e+01 4.219850531545121022e-05 6.908025199346033100e-04 3.060077921549478930e+01 1.197737385786228591e-02 1.079808126131279700e+01
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.521502332080792996e+01 1.957765225191990255e-03 1.082336158107208401e+00 1.018711519540682758e-01 4.346331266547383168e-04 1.761421917273934754e-02 1.018711519540682758e-01 4.346331266547383168e-04 1.761421917273934754e-02 3.199998660436251186e+01 3.814853948829325297e-05 5.601777918500134299e-04 3.067233276367187500e+01 1.104002661519400130e-02 1.023489899343500475e+01
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.515316470639830015e+01 1.991559447091324851e-03 1.210343339161749521e+00 9.907652675865243064e-02 4.168878793084448042e-04 1.799217690550360821e-02 9.907652675865243064e-02 4.168878793084448042e-04 1.799217690550360821e-02 3.199994071429975762e+01 3.485445990283062359e-05 4.919536506643391914e-04 3.074368286132812500e+01 1.016827505915358400e-02 9.642736583016812801e+00
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.509320473764751114e+01 1.676958234730585541e-03 8.838146575647691794e-01 9.502754637988382325e-02 4.188338913549167629e-04 1.697107777871180792e-02 9.502754637988382325e-02 4.188338913549167629e-04 1.697107777871180792e-02 3.199990434366874581e+01 3.403452347183159589e-05 4.751871287907856152e-04 3.084304809570312500e+01 9.985837536400466591e-03 8.788456106248000665e+00
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.503574316896209950e+01 1.909638990627937280e-03 1.044002025641720621e+00 9.194678601222033842e-02 4.216717476486514125e-04 1.719170871303316375e-02 9.194678601222033842e-02 4.216717476486514125e-04 1.719170871303316375e-02 3.199996133838117274e+01 2.633923733363455639e-05 2.756511797707959809e-04 3.091732788085937500e+01 9.570627326411810729e-03 8.202699012123048306e+00
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.496684145955185841e+01 1.923473703134519121e-03 5.045637119605937970e-01 9.017398972102991239e-02 4.113292376592070300e-04 1.567476937828769096e-02 9.017398972102991239e-02 4.113292376592070300e-04 1.567476937828769096e-02 3.199999381310808388e+01 1.472574589355660634e-05 8.799373680393846823e-05 3.094695027669270715e+01 9.524245481411664632e-03 7.897474626596602043e+00
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.491257216617636061e+01 7.739890151891527272e-03 6.959501846982792950e-01 8.765568730592945834e-02 4.104329301450149008e-04 1.614887997551434431e-02 8.765568730592945834e-02 4.104329301450149008e-04 1.614887997551434431e-02 3.199999642211809103e+01 1.303473712594994893e-05 6.838313461072972064e-05 3.100518798828125000e+01 1.161382643879588228e-02 7.617608175923426650e+00
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.485976595311609572e+01 3.106104724168526517e-03 6.504325186879147402e-01 8.455524813698486741e-02 4.079819885367469488e-04 1.622197662058252887e-02 8.455524813698486741e-02 4.079819885367469488e-04 1.622197662058252887e-02 3.200000484814006541e+01 6.543265833408393268e-06 1.733695833564548775e-05 3.107395426432291430e+01 9.183136762293382660e-03 7.077497889184288127e+00
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.471021411385709143e+01 5.883847702813306893e-03 4.482423327238477251e-01 7.694028154706422651e-02 3.873628086488907778e-04 1.624427606043013506e-02 7.694028154706422651e-02 3.873628086488907778e-04 1.624427606043013506e-02 3.199999968927324545e+01 1.896897010654046819e-06 1.422916712257639705e-06 3.123296101888020715e+01 9.240165926804107255e-03 5.951242672796877464e+00
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.431936909466348595e+01 5.689596552809850303e-04 6.233321266581423603e-02 5.063097324536953991e-02 4.001422455446918707e-04 1.602485956139062043e-02 5.063097324536953991e-02 4.001422455446918707e-04 1.602485956139062043e-02 3.199999747110712889e+01 2.883062354046621963e-06 3.558091332767455235e-06 3.167129516601562500e+01 5.171074588066238396e-03 2.588120124302804470e+00
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.407878014622492913e+01 9.086301225791974497e-04 1.258149244006823327e-02 2.399223103749670988e-02 3.666395062699239166e-04 1.429253414423792973e-02 2.399223103749670988e-02 3.666395062699239166e-04 1.429253414423792973e-02 3.199999793399121018e+01 2.273709912238383336e-06 1.741886347197249329e-06 3.192523193359375000e+01 2.506483423487118091e-03 5.969487987458705902e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.399989817909448675e+01 1.017751708463492550e-04 8.153896152870242610e-04 8.606249605772605749e-04 4.350104209634509441e-04 1.489651525807247565e-02 8.606249605772605749e-04 4.350104209634509441e-04 1.489651525807247565e-02 3.199999990435490105e+01 1.010856088367985295e-07 2.289133143830040067e-09 3.199989827473958215e+01 1.016755777468342112e-04 8.137917353047265188e-04
