hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.162642677219913026e+02 2.172234269848111621e-03 4.637132327041364882e-02 2.511994465709497387e-02 5.179161380303241424e-04 4.668773835390143540e-03 2.511994465709497387e-02 5.179161380303241424e-04 4.668773835390143540e-03
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.170562189700412148e+02 5.711757280323091594e-03 4.595179560514746075e-01 4.668430331899516006e-02 4.908200841272743675e-04 4.307841568195261428e-03 4.668430331899516006e-02 4.908200841272743675e-04 4.307841568195261428e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.180134409876869768e+02 1.050915865518525782e-01 1.191229246613191961e+01 6.810765744662916621e-02 4.997173811838050064e-04 3.909675242606171740e-03 6.810765744662916621e-02 4.997173811838050064e-04 3.909675242606171740e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.183288816550977458e+02 1.216052279297434452e-01 1.620257749135350878e+01 7.423546078966210271e-02 5.273380955379293727e-04 3.956793608255421840e-03 7.423546078966210271e-02 5.273380955379293727e-04 3.956793608255421840e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.185544577787009644e+02 1.372616277102479965e-01 2.023701434273089461e+01 7.627717127897427896e-02 4.873609686862601076e-04 3.835556416819430048e-03 7.627717127897427896e-02 4.873609686862601076e-04 3.835556416819430048e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.184701196889909056e+02 1.654136047940703846e-01 2.945681514558670244e+01 7.670978871652875397e-02 5.163942410871224771e-04 3.708673600302253657e-03 7.670978871652875397e-02 5.163942410871224771e-04 3.708673600302253657e-033.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.188535909521751250e+02 1.347361356235318997e-01 1.989890405465064660e+01 7.974370927009874488e-02 5.055236897484311322e-04 3.797702309971896697e-03 7.974370927009874488e-02 5.055236897484311322e-04 3.797702309971896697e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.189010724254298452e+02 1.408115231961345748e-01 2.154332722788148757e+01 8.105698602214392312e-02 4.896143143031346035e-04 3.704630850165827483e-03 8.105698602214392312e-02 4.896143143031346035e-04 3.704630850165827483e-03
3.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.190159752347223616e+02 1.472584299475447611e-01 2.371621469622514411e+01 8.178016053126585527e-02 5.310437995212159744e-04 3.715459016367321510e-03 8.178016053126585527e-02 5.310437995212159744e-04 3.715459016367321510e-03
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.768902110194714704e+292 nan inf -8.021934166011322652e-15 9.079091030183724512e-15 8.440821138878725472e-26 -8.021934166011322652e-15 9.079091030183724512e-15 8.440821138878725472e-26
